COUNTRY,DEPARTMENT,SALESFORCE_CODE,HCP_ID,REP_ID,PRODUCT,INDICATION,TERRITORY_ID,LOAD_DT,EPH_REFERENCE_ID,EPH_ENTERPRISE_ID,ENHANCED_ENTERPRISE_ID
JP,RETAIL,JPHY,ENTID_14025040,0053x00000FEuD4AAL,JP_708127-420004,,JP65953,2025-11-03,ENTID_14025040,ENTID_132159567,
JP,RETAIL,JPHY,ENTID_12629108,00580000004M3VJAA0,JP_708127-420004,,JP66076,2025-11-03,ENTID_12629108,ENTID_130355461,ENTID_130355461
JP,RETAIL,JPHY,ENTID_12711702,00580000004M3R8AAK,JP_708127-420004,,JP65946,2025-11-03,ENTID_12711702,ENTID_130438372,ENTID_130438372
JP,RETAIL,JPHY,ENTID_12789063,00580000004M3D3AAK,JP_708127-420004,,JP65939,2025-11-03,ENTID_12789063,ENTID_130516054,ENTID_130516054
JP,RETAIL,JPHY,ENTID_12696377,00580000004MHG0AAO,JP_708127-420004,,JP65968,2025-11-03,ENTID_12696377,ENTID_130422158,ENTID_130422158
JP,RETAIL,JPHY,ENTID_13754270,0053x00000FR2S7AAL,JP_708127-420004,,JP65865,2025-11-03,ENTID_13754270,ENTID_131805707,
JP,RETAIL,JPHY,ENTID_106007829,00580000004M39fAAC,JP_708127-420004,,JP66042,2025-11-03,ENTID_106007829,ENTID_130037682,ENTID_130037682
JP,RETAIL,JPHY,ENTID_12570112,00580000004M3GTAA0,JP_708127-420004,,JP65843,2025-11-03,ENTID_12570112,ENTID_130296964,ENTID_130296964
JP,RETAIL,JPHY,ENTID_113768858,0053x00000IIP3dAAH,JP_708127-420004,,JP66051,2025-11-03,ENTID_113768858,ENTID_130042259,ENTID_130042259
JP,RETAIL,JPCL,ENTID_13521092,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_13521092,ENTID_131513019,
JP,RETAIL,JPHY,ENTID_13848344,00580000004M3AOAA0,JP_708127-420004,,JP65876,2025-11-03,ENTID_13848344,ENTID_131930266,
JP,RETAIL,JPHY,ENTID_14244335,00580000004M36EAAS,JP_708127-420004,,JP66050,2025-11-03,ENTID_14244335,ENTID_132439158,
