conference_id,customer_id,product_id,indication_id,channel,action,ACTVY_STRT_DT
VEM-JP-11078,ENTID_12558261,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-12409,ENTID_12533671,708127,420004,National(Web),Attended,2025-07-24
VEM-JP-7887,ENTID_12750319,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-8358,ENTID_12602551,708127,420004,National(Web),Attended,2025-04-16
VEM-JP-15083,ENTID_12474858,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-11478,ENTID_12644766,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-15083,ENTID_12488369,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-7008,ENTID_12778912,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-15083,ENTID_12559858,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-11052,ENTID_12624839,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7324,ENTID_12772197,708127,420004,National(Web),Attended,2024-12-09
VEM-JP-10214,ENTID_12559915,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-7324,ENTID_12577449,708127,420004,National(Web),Attended,2024-12-09
VEM-JP-6160,ENTID_12612724,708127,420004,National(Web),Attended,2024-12-23
VEM-JP-10214,ENTID_12755928,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-15593,ENTID_12674315,708127,420004,National(Web),Attended,2025-10-06
VEM-JP-11478,ENTID_12551153,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-11478,ENTID_12492233,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-7746,ENTID_12634488,708127,420004,National(P2P),Attended,2025-08-24
VEM-JP-4244,ENTID_12503813,708127,420004,National(Web),Attended,2024-11-28
VEM-JP-11051,ENTID_87930559,708127,420004,National(Web),Attended,2025-03-21
VEM-JP-15085,ENTID_12619439,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-11379,ENTID_12493919,708127,420004,National(Web),Attended,2025-06-12
VEM-JP-8358,ENTID_12783007,708127,420004,National(Web),Attended,2025-04-16
VEM-JP-11078,ENTID_19197242,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-8357,ENTID_12793654,708127,420004,National(Web),Attended,2025-04-16
VEM-JP-11078,ENTID_12430450,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-13126,ENTID_12432923,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-11478,ENTID_12643998,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-7893,ENTID_12488369,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-11127,ENTID_12771547,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-13676,ENTID_12643963,708127,420004,National(Web),Attended,2025-06-26
VEM-JP-7009,ENTID_12803557,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-11665,ENTID_12570591,708127,420004,National(Web),Attended,2025-04-21
VEM-JP-13676,ENTID_12766011,708127,420004,National(Web),Attended,2025-06-26
VEM-JP-11127,ENTID_12774710,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-11878,ENTID_43662288,708127,420004,National(Web),Attended,2025-05-09
VEM-JP-3109,ENTID_12673883,708127,420004,National(P2P),Attended,2024-12-15
VEM-JP-7887,ENTID_12496491,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-7889,ENTID_12790936,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-12413,ENTID_12589041,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-7893,ENTID_12721824,708127,420004,National(Web),Attended,2025-02-25
VEM-JP-13126,ENTID_12561788,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-11052,ENTID_12793391,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-11052,ENTID_12772910,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-7324,ENTID_12730427,708127,420004,National(Web),Attended,2024-12-09
VEM-JP-15708,ENTID_12519469,708127,420004,National(Web),Attended,2025-08-05
VEM-JP-7746,ENTID_12577807,708127,420004,National(P2P),Attended,2025-08-24
VEM-JP-15593,ENTID_12495048,708127,420004,National(Web),Attended,2025-10-06
VEM-JP-7171,ENTID_12782872,708127,420004,National(P2P),Attended,2025-11-09
VEM-JP-15593,ENTID_76514585,708127,420004,National(Web),Attended,2025-10-06
VEM-JP-7171,ENTID_12584843,708127,420004,National(P2P),Attended,2025-11-09
VEM-JP-8208,ENTID_12802594,708127,420004,National(P2P),Attended,2025-06-15
VEM-JP-11478,ENTID_12725947,708127,420004,National(Web),Attended,2025-04-07
VEM-JP-11078,ENTID_12666631,708127,420004,National(Web),Attended,2025-05-23
