activity_date,customer_id,product_id,sevc_id,action,yrmoda
2025-05-06,ENTID_12487690,JP_708127-420004,a30VS0000083sC9YAI,Opened,2025-05-06
2025-06-23,ENTID_12488359,JP_708127-420004,a30VS000008lillYAA,Clicked,2025-06-23
2025-06-23,ENTID_12488359,JP_708127-420004,a30VS000008lillYAA,Delivered,2025-06-23
2025-06-23,ENTID_12488359,JP_708127-420004,a30VS000008lillYAA,Opened,2025-06-23
2025-05-12,ENTID_12495172,JP_708127-420004,a30VS0000089Bu6YAE,Delivered,2025-05-12
2025-03-20,ENTID_12495857,JP_708127-420004,a30VS000007GaY9YAK,Delivered,2025-03-20
2025-03-24,ENTID_12495857,JP_708127-420004,a30VS000007K9EPYA0,Delivered,2025-03-24
2025-04-03,ENTID_12495857,JP_708127-420004,a30VS000007agMTYAY,Delivered,2025-04-03
2025-04-15,ENTID_12495857,JP_708127-420004,a30VS000007lfdBYAQ,Delivered,2025-04-15
2025-05-13,ENTID_12495857,JP_708127-420004,a30VS000008AvjZYAS,Delivered,2025-05-13
2025-05-22,ENTID_12495857,JP_708127-420004,a30VS000008JhHZYA0,Delivered,2025-05-22
2025-05-01,ENTID_12495896,JP_708127-420004,a30VS000007zjAfYAI,Delivered,2025-05-01
2025-05-02,ENTID_12496020,JP_708127-420004,a30VS0000080SMHYA2,Delivered,2025-05-02
2025-04-10,ENTID_12496028,JP_708127-420004,a30VS000007hb0HYAQ,Delivered,2025-04-10
2025-04-10,ENTID_12496028,JP_708127-420004,a30VS000007hb0HYAQ,Opened,2025-04-10
2025-09-10,ENTID_12496028,JP_708127-420004,a30VS000009q48nYAA,Clicked,2025-09-10
2025-09-01,ENTID_12496028,JP_708127-420004,a30VS000009q48nYAA,Delivered,2025-09-01
2025-09-01,ENTID_12496028,JP_708127-420004,a30VS000009q48nYAA,Opened,2025-09-01
2025-04-04,ENTID_12496651,JP_708127-420004,a30VS000007blC1YAI,Delivered,2025-04-04
2025-04-04,ENTID_12496651,JP_708127-420004,a30VS000007blC1YAI,Opened,2025-04-04
2025-04-15,ENTID_12496651,JP_708127-420004,a30VS000007mRUwYAM,Delivered,2025-04-15
2025-04-16,ENTID_12496651,JP_708127-420004,a30VS000007mRUwYAM,Opened,2025-04-16
2025-05-14,ENTID_12496651,JP_708127-420004,a30VS000008B48XYAS,Delivered,2025-05-14
2025-05-14,ENTID_12496651,JP_708127-420004,a30VS000008B48XYAS,Opened,2025-05-14
2025-10-06,ENTID_12496651,JP_708127-420004,a30VS00000AO5TpYAL,Delivered,2025-10-06
2025-10-06,ENTID_12496651,JP_708127-420004,a30VS00000AO5TpYAL,Opened,2025-10-06
